,_id,animalSettlement,animalType,isPregmant,weight
472,642356d20dac5500301358f7,1a40025792,VACA,False,100.0
473,642356d20dac5500301358ff,1a40025792,VACA,False,100.0
474,642356d20dac550030135903,1a40025792,VACA,False,100.0
475,642356d20dac5500301358fd,1a40025792,VACA,False,100.0
476,642356d20dac550030135905,1a40025792,VACA,False,100.0
477,642356d20dac550030135901,1a40025792,VACA,False,100.0
478,642356d20dac55003013590d,1a40025792,VACA,False,100.0
479,642356d20dac550030135907,1a40025792,VACA,False,100.0
480,642356d20dac550030135909,1a40025792,VACA,False,100.0
481,642356d20dac55003013590f,1a40025792,VACA,False,100.0
482,642356d20dac55003013590b,1a40025792,VACA,False,100.0
483,642356d20dac550030135913,1a40025792,VACA,False,100.0
484,642356d20dac550030135911,1a40025792,VACA,False,100.0
485,642356d30dac550030135915,1a40025792,VACA,False,100.0
486,642356d30dac550030135919,1a40025792,VACA,False,100.0
487,642356d30dac550030135917,1a40025792,VACA,False,100.0
488,642356d30dac55003013591b,1a40025792,VACA,False,100.0
489,642356d30dac55003013591d,1a40025792,VACA,False,100.0
490,642356d30dac55003013591f,1a40025792,VACA,False,100.0
491,642356d30dac550030135923,1a40025792,VACA,False,100.0
492,642356d30dac550030135927,1a40025792,VACA,False,100.0
493,642356d30dac550030135925,1a40025792,VACA,False,100.0
494,642356d30dac550030135921,1a40025792,VACA,False,100.0
495,642356d30dac55003013592d,1a40025792,VACA,False,100.0
496,642356d30dac550030135929,1a40025792,VACA,False,100.0
497,642356d30dac55003013592f,1a40025792,VACA,False,100.0
498,642356d30dac55003013592b,1a40025792,VACA,False,100.0
499,642356d30dac550030135931,1a40025792,VACA,False,100.0
